steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
50019	231	33.132997274398804	-95.69999999999987	-107.39999999999998	47.79188680565397	6.8000000000001215	-141.99999999999983	-12.218173860608841	3.5913675352991814
100120	482	64.33947682380676	-76.11999999999998	-82.09999999999997	41.97578137714908	-11.400000000000055	-126.59999999999965	-11.290571596867363	3.661331426948041
150253	733	95.57617545127869	-84.99999999999996	-91.19999999999989	35.37833612066376	-4.200000000000037	-129.99999999999986	-11.34026731392843	3.6624390018046187
200459	983	126.95031213760376	1006.0599999999991	-6.000000000000025	3200.825718536457	10111.599999999991	-127.59999999999994	-10.324851715524618	3.6621278432660933
250147	1232	157.95732927322388	-46.359999999999985	-63.000000000000085	68.64205384132633	70.19999999999993	-133.39999999999958	-10.089539724066386	3.663516491599206
300085	1482	189.08252835273743	-55.900000000000006	-86.19999999999995	60.791538153850865	54.99999999999999	-110.99999999999991	-9.9067015151608	3.658608315518995
350359	1733	220.53251719474792	-23.03999999999997	-52.90000000000003	92.93600187464727	201.6	-110.79999999999994	-9.332383303447992	3.66047047924237
400422	1984	251.78264951705933	-41.500000000000014	-62.60000000000009	76.62707673459089	125.19999999999979	-117.60000000000004	-9.077974032885237	3.660794053885192
450231	2233	282.9444682598114	-25.439999999999984	-49.899999999999956	106.22553783760713	245.40000000000023	-123.2	-9.122929464826766	3.6580725109847636
500039	2483	314.0982937812805	7.000000000000011	-10.600000000000055	67.65224805331059	160.8	-101.39999999999989	-8.93570347555145	3.6560605154034427
550730	2734	345.85533475875854	-12.640000000000013	-15.800000000000006	61.27959965056339	129.59999999999997	-105.39999999999984	-8.849781610641442	3.6571548842452297
600026	2983	376.66939878463745	5.899999999999997	4.20000000000001	90.52460684501449	113.80000000000008	-90.79999999999998	-8.687635083734301	3.656645593704159
650199	3235	407.974937915802	-39.63999999999998	-53.899999999999956	50.416998896976956	58.59999999999997	-112.9999999999999	-8.738656162724686	3.661946643178761
700129	3485	439.2425272464752	-32.35999999999994	-17.899999999999963	58.586445152061856	41.600000000000215	-123.99999999999989	-8.774531388944622	3.656114334546783
750156	3732	470.4883098602295	999.8199999999963	-8.000000000000021	3199.022995923032	10103.399999999963	-96.39999999999986	-8.146588819993156	3.656117022286126
800087	3983	501.73141622543335	-11.200000000000024	-2.199999999999979	43.2270491449252	61.19999999999994	-94.40000000000015	-8.652889654053714	3.6535760658593
850315	4234	533.13791680336	21.719999999999985	8.899999999999995	66.18822990364507	129.19999999999993	-72.20000000000003	-8.433959779017458	3.6576784808587997
900869	4486	564.763046503067	16.28000000000001	24.899999999999956	68.65658178370249	116.80000000000005	-100.8000000000002	-8.520889907147998	3.6541002664618425
950290	4735	595.71697473526	-21.999999999999996	-5.399999999999981	65.95709042838209	42.79999999999989	-109.79999999999976	-8.20906687746642	3.652371572746445
1000114	4983	626.9276564121246	3.059999999999937	-42.500000000000114	100.65496841520874	208.80000000000007	-76.00000000000007	-8.464550138575879	3.6532873930133207
1050036	5233	658.1360313892365	6.280000000000023	-15.69999999999997	82.43921397005191	198.00000000000014	-107.3999999999999	-7.896831171113662	3.6545223824004753
1100465	5485	689.6736130714417	-40.11999999999997	-57.50000000000004	71.24737500037764	73.19999999999999	-122.19999999999987	-8.075590938312454	3.650715381833173
1150019	5733	720.7381043434143	47.859999999999914	62.99999999999988	68.79845282498077	164.6000000000001	-50.400000000000055	-7.514934908023404	3.6489991707455407
1200768	5985	752.5282599925995	19.120000000000076	-29.99999999999999	159.0423619319361	438.0000000000008	-95.39999999999993	-7.7620553562319525	3.648337038378001
1250018	6233	783.372663974762	15.619999999999996	24.39999999999999	63.89995305162591	106.59999999999994	-89.99999999999994	-7.027378159221661	3.648449160221486
1300235	6483	814.7915606498718	28.419999999999995	21.6	62.04933162859658	142.20000000000002	-66.60000000000004	-7.698597801230288	3.645424872681959
1350606	6734	846.3575365543365	67.2	63.5999999999999	125.73478260034314	296.4	-75.19999999999993	-6.653693403782698	3.6471413300679223
1400076	6983	877.4075264930725	64.96000000000002	32.500000000000036	95.28669255346092	233.6000000000002	-37.39999999999992	-7.061296327652671	3.6381258784261137
1450063	7233	908.6509630680084	47.00000000000007	33.99999999999997	125.31187759612706	336.40000000000094	-96.80000000000004	-6.9388666082028925	3.6417074231977367
1500430	7484	940.1709003448486	-6.439999999999955	-15.299999999999986	51.47778809026933	89.80000000000037	-100.60000000000001	-6.58333096232277	3.6438051727784293
